               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.021159,           0.0029159,                   0,             0.99345,             0.99699,             0.99439,             0.73693,            0.017901,           0.0031369,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.020595,           0.0029487,                   0,             0.99514,             0.99775,             0.99415,             0.73569,            0.017735,           0.0031108,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,             0.02062,           0.0029732,                   0,               0.995,             0.99699,             0.99423,             0.72763,            0.017607,           0.0031313,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.020471,           0.0029139,                   0,             0.99541,              0.9985,              0.9944,             0.73625,            0.017533,           0.0031157,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.020446,           0.0029832,                   0,             0.99672,             0.99699,             0.99419,             0.73672,            0.017571,           0.0031134,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.020846,           0.0029583,                   0,             0.99401,             0.99695,             0.99298,              0.7321,            0.017973,           0.0030945,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.020453,           0.0029368,                   0,             0.99522,              0.9985,             0.99432,             0.73606,            0.017551,           0.0030438,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.020381,           0.0029757,                   0,             0.99358,             0.99624,             0.99439,             0.73426,            0.017876,           0.0031093,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.020402,           0.0029197,                   0,             0.99027,             0.99456,             0.99186,             0.72769,            0.018112,           0.0031385,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              0.0203,           0.0028789,                   0,             0.99543,              0.9985,             0.99407,             0.74415,            0.017145,            0.003035,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.020201,           0.0028687,                   0,              0.9947,              0.9985,             0.99378,             0.73408,            0.017373,           0.0030338,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.020412,           0.0029082,                   0,              0.9955,             0.99771,             0.99378,             0.73674,            0.017139,           0.0030555,                   0,           0.0090694,           0.0090694,           0.0090694
